5,15,35,65,115,195,325,535
8,24,47,86,148,249,412,676
11,33,59,107,181,303,499,817
14,42,71,128,214,357,586,958
17,51,83,149,247,411,673,1099
20,60,95,170,280,465,760,1240
23,69,107,191,313,519,847,1381
26,78,119,212,346,573,934,1522
29,87,131,233,379,627,1021,1663
32,96,143,254,412,681,1108,1804
35,105,155,275,445,735,1195,1945
38,114,167,296,478,789,1282,2086
41,123,179,317,511,843,1369,2227
44,132,191,338,544,897,1456,2368
47,141,203,359,577,951,1543,2509
50,150,215,380,610,1005,1630,2650
53,159,227,401,643,1059,1717,2791
56,168,239,422,676,1113,1804,2932
59,177,251,443,709,1167,1891,3073
62,186,263,464,742,1221,1978,3214
65,195,275,485,775,1275,2065,3355
,0,,,,,,
